RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,"15,634,602",Hargrave,619,France,Female,42,2,0,1,1,1,"101,349",1
2,"15,647,311",Hill,608,Spain,Female,41,1,"83,808",1,0,1,"112,543",0
3,"15,619,304",Onio,502,France,Female,42,8,"159,661",3,1,0,"113,932",1
4,"15,701,354",Boni,699,France,Female,39,1,0,2,0,0,"93,827",0
5,"15,737,888",Mitchell,850,Spain,Female,43,2,"125,511",1,1,1,"79,084",0
6,"15,574,012",Chu,645,Spain,Male,44,8,"113,756",2,1,0,"149,757",1
7,"15,592,531",Bartlett,822,France,Male,50,7,0,2,1,1,"10,063",0
8,"15,656,148",Obinna,376,Germany,Female,29,4,"115,047",4,1,0,"119,347",1
9,"15,792,365",He,501,France,Male,44,4,"142,051",2,0,1,"74,941",0
10,"15,592,389",H?,684,France,Male,27,2,"134,604",1,1,1,"71,726",0
11,"15,767,821",Bearce,528,France,Male,31,6,"102,017",2,0,0,"80,181",0
12,"15,737,173",Andrews,497,Spain,Male,24,3,0,2,1,0,"76,390",0
13,"15,632,264",Kay,476,France,Female,34,10,0,2,1,0,"26,261",0
14,"15,691,483",Chin,549,France,Female,25,5,0,2,0,0,"190,858",0
15,"15,600,882",Scott,635,Spain,Female,35,7,0,2,1,1,"65,952",0
16,"15,643,966",Goforth,616,Germany,Male,45,3,"143,129",2,0,1,"64,327",0
17,"15,737,452",Romeo,653,Germany,Male,58,1,"132,603",1,1,0,"5,098",1
18,"15,788,218",Henderson,549,Spain,Female,24,9,0,2,1,1,"14,406",0
19,"15,661,507",Muldrow,587,Spain,Male,45,6,0,1,0,0,"158,685",0
20,"15,568,982",Hao,726,France,Female,24,6,0,2,1,1,"54,724",0
21,"15,577,657",McDonald,732,France,Male,41,8,0,2,1,1,"170,886",0
22,"15,597,945",Dellucci,636,Spain,Female,32,8,0,2,1,0,"138,555",0
23,"15,699,309",Gerasimov,510,Spain,Female,38,4,0,1,1,0,"118,914",1
24,"15,725,737",Mosman,669,France,Male,46,3,0,2,0,1,"8,488",0
25,"15,625,047",Yen,846,France,Female,38,5,0,1,1,1,"187,616",0
26,"15,738,191",Maclean,577,France,Male,25,3,0,2,0,1,"124,508",0
27,"15,736,816",Young,756,Germany,Male,36,2,"136,816",1,1,1,"170,042",0
28,"15,700,772",Nebechi,571,France,Male,44,9,0,2,0,0,"38,433",0
29,"15,728,693",McWilliams,574,Germany,Female,43,3,"141,349",1,1,1,"100,187",0
30,"15,656,300",Lucciano,411,France,Male,29,0,"59,697",2,1,1,"53,483",0
31,"15,589,475",Azikiwe,591,Spain,Female,39,3,0,3,1,0,"140,469",1
32,"15,706,552",Odinakachukwu,533,France,Male,36,7,"85,312",1,0,1,"156,732",0
33,"15,750,181",Sanderson,553,Germany,Male,41,9,"110,113",2,0,0,"81,899",0
34,"15,659,428",Maggard,520,Spain,Female,42,6,0,2,1,1,"34,411",0
35,"15,732,963",Clements,722,Spain,Female,29,9,0,2,1,1,"142,033",0
36,"15,794,171",Lombardo,475,France,Female,45,0,"134,264",1,1,0,"27,823",1
37,"15,788,448",Watson,490,Spain,Male,31,3,"145,260",1,0,1,"114,067",0
38,"15,729,599",Lorenzo,804,Spain,Male,33,7,"76,549",1,0,1,"98,453",0
39,"15,717,426",Armstrong,850,France,Male,36,7,0,1,1,1,"40,813",0
40,"15,585,768",Cameron,582,Germany,Male,41,6,"70,349",2,0,1,"178,074",0
41,"15,619,360",Hsiao,472,Spain,Male,40,4,0,1,1,0,"70,154",0
42,"15,738,148",Clarke,465,France,Female,51,8,"122,522",1,0,0,"181,298",1
43,"15,687,946",Osborne,556,France,Female,61,2,"117,419",1,1,1,"94,154",0
44,"15,755,196",Lavine,834,France,Female,49,2,"131,395",1,0,0,"194,366",1
45,"15,684,171",Bianchi,660,Spain,Female,61,5,"155,931",1,1,1,"158,338",0
46,"15,754,849",Tyler,776,Germany,Female,32,4,"109,421",2,1,1,"126,517",0
47,"15,602,280",Martin,829,Germany,Female,27,9,"112,046",1,1,1,"119,708",1
48,"15,771,573",Okagbue,637,Germany,Female,39,9,"137,844",1,1,1,"117,623",1
49,"15,766,205",Yin,550,Germany,Male,38,2,"103,391",1,0,1,"90,878",0
50,"15,771,873",Buccho,776,Germany,Female,37,2,"103,769",2,1,0,"194,099",0
51,"15,616,550",Chidiebele,698,Germany,Male,44,10,"116,363",2,1,0,"198,059",0
52,"15,768,193",Trevisani,585,Germany,Male,36,5,"146,051",2,0,0,"86,425",0
53,"15,683,553",O'Brien,788,France,Female,33,5,0,2,0,0,"116,978",0
54,"15,702,298",Parkhill,655,Germany,Male,41,8,"125,562",1,0,0,"164,041",1
55,"15,569,590",Yoo,601,Germany,Male,42,1,"98,496",1,1,0,"40,015",1
56,"15,760,861",Phillipps,619,France,Male,43,1,"125,212",1,1,1,"113,410",0
57,"15,630,053",Tsao,656,France,Male,45,5,"127,864",1,1,0,"87,108",0
58,"15,647,091",Endrizzi,725,Germany,Male,19,0,"75,888",1,0,0,"45,614",0
59,"15,623,944",T'ien,511,Spain,Female,66,4,0,1,1,0,###############################################################################################################################################################################################################################################################,1
60,"15,804,771",Velazquez,614,France,Male,51,4,"40,686",1,1,1,"46,775",0
61,"15,651,280",Hunter,742,Germany,Male,35,5,"136,857",1,0,0,"84,510",0
62,"15,773,469",Clark,687,Germany,Female,27,9,"152,329",2,0,0,"126,495",0
63,"15,702,014",Jeffrey,555,Spain,Male,33,1,"56,085",2,0,0,"178,798",0
64,"15,751,208",Pirozzi,684,Spain,Male,56,8,"78,707",1,1,1,"99,398",0
65,"15,592,461",Jackson,603,Germany,Male,26,4,"109,166",1,1,1,"92,841",0
